codigo,descricao
(EF01CO01),"Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças."
(EF01CO02),Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.
(EF01CO03),"Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ‘Algoritmos’."
(EF01CO04),"Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens."
(EF01CO05),Representar informação usando diferentes codificações.
(EF01CO06),Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.
(EF01CO07),Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.
(EF02CO01),"Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais."
(EF02CO02),"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, construídos como sequências com repetições simples (iterações definidas) com base em instruções preestabelecidas ou criadas, analisando como a precisão da instrução impacta na execução do algoritmo."
(EF02CO03),Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.
(EF02CO04),Diferenciar componentes físicos (hardware) e programas que fornecem as instruções (software) para o hardware.
(EF02CO05),Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.
(EF02CO06),Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.
(EF03CO01),"Associar os valores 'verdadeiro' e 'falso' a sentenças lógicas que dizem respeito a situações do dia a dia, fazendo uso de termos que indicam negação."
(EF03CO02),"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples com condição (iterações indefinidas), para resolver problemas de forma independente e em colaboração."
(EF03CO03),"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções."
(EF03CO04),Relacionar o conceito de informação com o de dado.
(EF03CO05),Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.
(EF03CO06),"Reconhecer que, para um computador realizar tarefas, ele se comunica com o mundo exterior com o uso de interfaces físicas (dispositivos de entrada e saída)."
(EF03CO07),Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.
(EF03CO08),Usar ferramentas computacionais em situações didáticas para se expressar em diferentes formatos digitais.
(EF03CO09),Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.
(EF04CO01),"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de matrizes que estabelecem uma organização na qual cada componente está em uma posição definida por coordenadas, fazendo manipulações simples sobre estas representações."
(EF04CO02),"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de registros que estabelecem uma organização na qual cada componente é identificado por um nome, fazendo manipulações sobre estas representações."
(EF04CO03),"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples e aninhadas (iterações definidas e indefinidas), para resolver problemas de forma independente e em colaboração."
(EF04CO04),"Entender que para guardar, manipular e transmitir dados deve-se codificá-los de alguma forma que seja compreendida pela máquina (formato digital)."
(EF04CO05),"Codificar diferentes informações para representação em computador (binária, ASCII, atributos de pixel, como RGB etc.)."
(EF04CO06),"Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.)."
(EF04CO07),"Demonstrar postura ética nas atividades de coleta, transferência, guarda e uso de dados."
(EF04CO08),Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.
(EF05CO01),"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de listas que estabelecem uma organização na qual há um número variável de itens dispostos em sequência, fazendo manipulações simples sobre estas representações."
(EF05CO02),"Reconhecer objetos do mundo real e digital que podem ser representados através de grafos que estabelecem uma organização com uma quantidade variável de vértices conectados por arestas, fazendo manipulações simples sobre estas representações."
(EF05CO03),"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'."
(EF05CO04),"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências, repetições e seleções condicionais para resolver problemas de forma independente e em colaboração."
(EF05CO05),"Identificar os componentes principais de um computador (dispositivos de entrada/saída, processadores e armazenamento)."
(EF05CO06),Reconhecer que os dados podem ser armazenados em um dispositivo local ou remoto.
(EF05CO07),Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.
(EF05CO08),Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.
(EF05CO09),Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.
(EF05CO10),Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.
(EF05CO011),Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.
(EF15CO01),"Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade)."
(EF15CO02),"Construir e simular algoritmos, de forma independente ou em colaboração, que resolvam problemas simples e do cotidiano com uso de sequências, seleções condicionais e repetições de instruções."
(EF15CO03),"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'."
(EF15CO04),"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções."
(EF15CO05),"Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais."
(EF15CO06),"Conhecer os componentes básicos de dispositivos computacionais, entendendo os princípios de seu funcionamento."
(EF15CO07),Conhecer o conceito de Sistema Operacional e sua importância na integração entre software e hardware.
(EF15CO08),"Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas."
(EF15CO09),"Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes."
(EF06CO01),"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dados’"
(EF06CO02),"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação."
(EF06CO03),"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita."
(EF06CO04),Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.
(EF06CO05),"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída."
(EF06CO06),"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica."
(EF06CO07),"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino."
(EF06CO08),"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados."
(EF06CO09),"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito."
(EF06CO10),"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade."
(EF07CO01),Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.
(EF07CO02),"Analisar programas para detectar e remover erros, ampliando a confiança na sua correção."
(EF07CO03),"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
(EF07CO04),Explorar propriedades básicas de grafos.
(EF07CO05),Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.
(EF07CO06),Compreender o papel de protocolos para a transmissão de dados.
(EF07CO07),Identificar problemas de segurança cibernética e experimentar formas de proteção.
(EF07CO08),Demonstrar empatia sobre opiniões divergentes na web.
(EF07CO09),Reconhecer e debater sobre cyberbullying.
(EF07CO10),"Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade."
(EF07CO11),"Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia."
(EF08CO01),Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.
(EF08CO02),"Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema."
(EF08CO03),Utilizar algoritmos clássicos de manipulação sobre listas.
(EF08CO04),"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
(EF08CO05),"Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos."
(EF08CO06),Entender como é a estrutura e funcionamento da internet.
(EF08CO07),"Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética."
(EF08CO08),Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.
(EF08CO09),Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.
(EF08CO10),Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.
(EF08CO11),"Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica."
(EF09CO01),Criar soluções de problemas para os quais seja adequado o uso de árvores e grafos para descrever suas informações e automatizá-las usando uma linguagem de programação.
(EF09CO02),"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
(EF09CO03),Usar autômatos para descrever comportamentos de forma abstrata automatizando-os através de uma linguagem de programação baseada em eventos.
(EF09CO04),Compreender o funcionamento de malwares e outros ataques cibernéticos.
(EF09CO05),Analisar técnicas de criptografia para armazenamento e transmissão de dados.
(EF09CO06),"Analisar problemas sociais de sua cidade e estado a partir de ambientes digitais, propondo soluções."
(EF09CO07),"Avaliar aplicações e implicações políticas, socioambientais e culturais das tecnologias digitais para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho."
(EF09CO08),"Discutir como a distribuição desigual de recursos de computação em uma economia global levanta questões de equidade, acesso e poder."
(EF09CO09),"Criar ou utilizar conteúdo em meio digital, compreendendo questões éticas relacionadas a direitos autorais e de uso de imagem."
(EF09CO10),"Avaliar a veracidade, credibilidade e relevância da informação em seus diferentes formatos, sendo capaz de identificar o propósito pelo qual foi disseminada."
(EF69CO01),"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’."
(EF69CO02),"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação."
(EF69CO03),"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita."
(EF69CO04),Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.
(EF69CO05),"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída."
(EF69CO06),"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica."
